taxonID	kingdom	taxonRank	scientificName
1	Plantae	species	Barleria grootbergensis I.Darbysh. & E.Tripp
2	Plantae	species	Dyschoriste tinctorum (Decne.) E.Tripp & T.F.Daniel
3	Plantae	species	Mellera calcarata (Benoist) E.Tripp
4	Plantae	species	Mimulopsis macrantha (Mildbr.) E.Tripp
5	Plantae	species	Mimulopsis marronina (Vollesen) E.Tripp
6	Plantae	species	Mimulopsis volleseniana E.Tripp & T.F.Daniel
7	Plantae	species	Ruellia acetabula E.Tripp & K.G.Dexter
8	Plantae	species	Ruellia costaricensis (Oerst.) E.Tripp & McDade
9	Plantae	species	Ruellia exilis McDade & E.Tripp
10	Plantae	species	Ruellia fulgens (Bremek.) E.Tripp
11	Plantae	species	Ruellia geayi (Benoist) E.Tripp
12	Plantae	species	Ruellia haughtii (Leonard) E.Tripp
13	Plantae	species	Ruellia hirsutissima (Nees) E.Tripp
14	Plantae	species	Ruellia kaokoana E.Tripp & K.G.Dexter
15	Plantae	species	Ruellia laslobasensis E.Tripp
16	Plantae	species	Ruellia longissima (Benoist) E.Tripp
17	Plantae	species	Ruellia mira McDade & E.Tripp
18	Plantae	species	Ruellia norvegigratiosa McDade & E.Tripp
19	Plantae	species	Ruellia odorata E.Tripp & McDade
20	Plantae	species	Ruellia panamensis (Lindau) E.Tripp
21	Plantae	species	Ruellia quartziticola Callm., E.Tripp & Phillipson
22	Plantae	species	Ruellia saccata Schmidt-Leb. & E.Tripp
23	Plantae	species	Ruellia tachiadena (Heine & A.Raynal) E.Tripp
24	Plantae	species	Ruellia wasshauseniana E.Tripp

